Time,Label,EDA_SCR_count,EDA_Phasic_AUC,EDA_Tonic_Mean,Subject,HRV_RMSSD,HRV_SDNN,HRV_MeanNN,HRV_LF,HRV_HF,HRV_LFHF
300.0,0,89,16.781913923915013,4.4729981040382905,S2,57.47818278789474,97.90315381152072,785.9602649006622,0.02358688905108184,0.004134722500315938,5.7045881674718295
360.0,0,89,14.211595274053819,3.748755955309158,S2,57.62904387296949,101.0972631794773,792.6,0.03240834421866322,0.00926012243133633,3.499774917553262
420.0,0,88,11.544699613513686,3.2191474701244402,S2,62.18524281650174,74.64642140940909,827.6984126984127,0.029965899581492685,0.01745430602729587,1.7168198801276082
480.0,0,88,9.951606197726807,2.770035863535826,S2,63.79682740143422,65.98294147755233,815.4207436399217,0.022043184282868673,0.03169133406532102,0.6955587365755593
540.0,0,88,8.688944388868256,2.3924146545587193,S2,52.3874454850057,59.77619236636984,821.615763546798,0.049078916927635274,0.020576151580296208,2.385233056634041
600.0,0,88,7.7864221722057465,2.1252259096768946,S2,54.03893925700102,67.81084680630829,834.4755244755246,0.04682557942100541,0.008395250006369068,5.577627752059929
660.0,0,87,6.849378358370702,1.917727628919323,S2,52.31809805403763,64.68627988016624,837.9879275653923,0.04362070122707123,0.008261600861596767,5.279933266909291
720.0,0,92,6.22567177095103,1.7501681288374062,S2,54.28171477827978,51.17134930066433,837.7464788732394,0.032373156487144186,0.02117814321865107,1.5286116517822934
780.0,0,87,5.68638767980101,1.625810392497761,S2,76.59767766941164,74.71868109919188,827.4900793650794,0.07072569272049536,0.07477197233639947,0.9458850757915028
840.0,0,83,5.368590776629374,1.5273579148993983,S2,74.65842474555386,74.54588193566663,825.6059113300493,0.044345508746039694,0.046360893257262434,0.9565283503050919
900.0,0,87,5.348215768463952,1.4445910109548208,S2,57.22629722922325,55.51555797928924,832.8371628371629,0.02719551318723855,0.022089588633479255,1.2311462036925709
960.0,0,91,4.474439002062039,1.3813480617935934,S2,51.39880090716005,57.86346187721949,845.9169199594733,0.060064704504726806,0.038732537521888356,1.5507557301347301
1020.0,0,90,4.263901802814007,1.3129405144978767,S2,59.7239526590101,60.26496837777881,853.6632653061225,0.05374063529423566,0.03860174255822365,1.3921815890352038
1080.0,0,92,4.447324122095272,1.2391841921597309,S2,61.67783267359747,65.81064714592131,850.4795918367346,0.04342466185180079,0.032061993682326206,1.3543968064511884
